,movie_id,movie_name,year,genre,overview,director,cast
0,tt15354916,Jawan,2023,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
1,tt15748830,Jaane Jaan,2023,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva"
2,tt11663228,Jailer,2023,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff"
3,tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi"
4,tt15732324,OMG 2,2023,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra"
5,tt18266472,Sukhee,2023,Drama,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila"
6,tt18561736,The Great Indian Family,2023,Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit"
7,tt3691740,The BFG,2016,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement"
8,tt12844910,Pathaan,2023,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
9,tt15464390,Mastaney,2023,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol"
10,tt1187043,3 Idiots,2009,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
11,tt14914988,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao"
12,tt3741834,Lion,2016,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
13,tt13131610,Bholaa Shankar,2023,"Action, Drama",A doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu"
14,tt22188452,Haddi,2023,"Crime, Drama","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba"
15,tt28568397,Friday Night Plan,2023,"Comedy, Drama","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand"
16,tt21908676,Neeyat,2023,"Crime, Mystery, Thriller","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi"
17,tt15441054,Gadar 2,2023,"Action, Adventure, Drama","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Anil Sharma,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel"
18,tt27542289,Por Thozhil,2023,"Action, Crime, Thriller",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Vignesh Raja, T. Senthil Paramasivam","R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu"
19,tt0454876,Life of Pi,2012,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
20,tt0249371,Asoka,2001,"Action, Biography, Drama",The epic tale of King Asoka's life is recounted.,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
21,tt0838221,The Darjeeling Limited,2007,"Adventure, Comedy, Drama","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan"
22,tt5074352,Dangal,2016,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
23,tt8239946,Tumbbad,2018,"Drama, Fantasy, Horror",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
24,tt15428134,Dunki,2023,"Comedy, Drama",The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.,Rajkumar Hirani,"Shah Rukh Khan, Taapsee Pannu, Boman Irani, Vicky Kaushal"
25,tt24485052,Sirf Ek Bandaa Kaafi Hai,2023,"Crime, Drama, Thriller",A common man with honesty and integrity can take on the system when he has truth on his side.,Apoorv Singh Karki,"Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey"
26,tt1954470,Gangs of Wasseypur,2012,"Action, Comedy, Crime","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
27,tt15433600,Khufiya,2023,"Action, Biography, Crime","Krishna Mehra who is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",Vishal Bhardwaj,"Tabu, Ali Fazal, Wamiqa Gabbi, Azmeri Haque Badhon"
